date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:29:58	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:02%20GMT	https://www.boshjerns.art/rb_wixui.thunderbolt~bootstrap-classic.e869e806.chunk.min.js	C:/My%20Web%20Sites/new/www.boshjerns.art/rb_wixui.thunderbolt_bootstrap-classic.e869e806.chunk.min.11.delayed	(from https://www.boshjerns.art/)
10:29:59	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:03%20GMT	https://www.boshjerns.art/rb_wixui.thunderbolt~bootstrap.8a86afda.chunk.min.css	C:/My%20Web%20Sites/new/www.boshjerns.art/rb_wixui.thunderbolt_bootstrap.8a86afda.chunk.min.12.delayed	(from https://www.boshjerns.art/)
10:30:00	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:04%20GMT	https://www.boshjerns.art/rb_wixui.thunderbolt~bootstrap.08241ed1.chunk.min.js	C:/My%20Web%20Sites/new/www.boshjerns.art/rb_wixui.thunderbolt_bootstrap.08241ed1.chunk.min.13.delayed	(from https://www.boshjerns.art/)
10:30:01	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:05%20GMT	https://www.boshjerns.art/rb_wixui.thunderbolt~bootstrap-responsive.f3ca696f.chunk.min.css	C:/My%20Web%20Sites/new/www.boshjerns.art/rb_wixui.thunderbolt_bootstrap-responsive.f3ca696f.chunk.min.14.delayed	(from https://www.boshjerns.art/)
10:30:02	2865/2865	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2004%20Nov%202022%2014:30:06%20GMT	https://www.boshjerns.art/rb_wixui.thunderbolt~bootstrap-responsive.c58e6b29.chunk.min.js	C:/My%20Web%20Sites/new/www.boshjerns.art/rb_wixui.thunderbolt_bootstrap-responsive.c58e6b29.chunk.min.15.delayed	(from https://www.boshjerns.art/)
10:30:03	3642/3642	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2014:30:06%20GMT	https://static.wixstatic.com/media/0d0145_58b94a89bc224e2ab7478e6cd675faaf~mv2.png/v1/fill/w_74,h_61,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo.png	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_58b94a89bc224e2ab7478e6cd675faaf_mv2.png/v1/fill/w_74,h_61,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/logo.png	(from https://www.boshjerns.art/)
10:30:04	1403/1403	---M--	200	added ('OK')	image/png	date:Fri,%2004%20Nov%202022%2014:30:07%20GMT	https://static.wixstatic.com/media/0d0145_939015c3835e45ad8f47ed737928a336~mv2.png/v1/fill/w_96,h_93,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/fnd.png	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_939015c3835e45ad8f47ed737928a336_mv2.png/v1/fill/w_96,h_93,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/fnd.png	(from https://www.boshjerns.art/)
10:30:06	373747/373747	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2014:30:09%20GMT	https://www.boshjerns.art/liveshows	C:/My%20Web%20Sites/new/www.boshjerns.art/liveshows.html	(from https://www.boshjerns.art/)
10:30:07	324020/324020	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2014:30:10%20GMT	https://www.boshjerns.art/portrait	C:/My%20Web%20Sites/new/www.boshjerns.art/portrait.html	(from https://www.boshjerns.art/)
10:30:08	235393/235393	---MCZ	200	added ('OK')	text/html	date:Fri,%2004%20Nov%202022%2014:30:11%20GMT	https://www.boshjerns.art/contact	C:/My%20Web%20Sites/new/www.boshjerns.art/contact.html	(from https://www.boshjerns.art/)
10:30:08	98235/98235	---M-Z	200	added ('OK')	text/css	etag:W/%223eb9968658cc56f3a2ccdc46237673a3%22	https://static.parastorage.com/services/pro-gallery-santa-wrapper/1.2776.0/staticCss.min.css	C:/My%20Web%20Sites/new/static.parastorage.com/services/pro-gallery-santa-wrapper/1.2776.0/staticCss.min.css	(from https://www.boshjerns.art/)
10:30:10	39985/39985	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:13%20GMT	https://static.wixstatic.com/media/0d0145_b6ccdaa378914f25be88ad0e0076d101~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_b6ccdaa378914f25be88ad0e0076d101~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_b6ccdaa378914f25be88ad0e0076d101_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_b6ccdaa378914f25be88ad0e0076d101_mv2.jpg	(from https://www.boshjerns.art/)
10:30:11	70872/70872	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:14%20GMT	https://static.wixstatic.com/media/0d0145_d5171ceddd904e45a97d9b01e37d5590~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_d5171ceddd904e45a97d9b01e37d5590~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_d5171ceddd904e45a97d9b01e37d5590_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_d5171ceddd904e45a97d9b01e37d5590_mv2.jpg	(from https://www.boshjerns.art/)
10:30:12	65534/65534	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:15%20GMT	https://static.wixstatic.com/media/0d0145_56749de53a9e4c8e86ca3d9767758c55~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_56749de53a9e4c8e86ca3d9767758c55~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_56749de53a9e4c8e86ca3d9767758c55_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_56749de53a9e4c8e86ca3d9767758c55_mv2.jpg	(from https://www.boshjerns.art/)
10:30:13	55754/55754	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:16%20GMT	https://static.wixstatic.com/media/0d0145_bb04d41243034869ac01b397ddb7477a~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_bb04d41243034869ac01b397ddb7477a~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_bb04d41243034869ac01b397ddb7477a_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_bb04d41243034869ac01b397ddb7477a_mv2.jpg	(from https://www.boshjerns.art/)
10:30:14	59752/59752	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:17%20GMT	https://static.wixstatic.com/media/0d0145_7e481dc4ff3740c4bfd8bcacd24e411a~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_7e481dc4ff3740c4bfd8bcacd24e411a~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_7e481dc4ff3740c4bfd8bcacd24e411a_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_7e481dc4ff3740c4bfd8bcacd24e411a_mv2.jpg	(from https://www.boshjerns.art/)
10:30:15	70853/70853	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:18%20GMT	https://static.wixstatic.com/media/0d0145_b41ca62b85fc48c584d87e0fb44c6377~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_b41ca62b85fc48c584d87e0fb44c6377~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_b41ca62b85fc48c584d87e0fb44c6377_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_b41ca62b85fc48c584d87e0fb44c6377_mv2.jpg	(from https://www.boshjerns.art/)
10:30:16	33455/33455	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:19%20GMT	https://static.wixstatic.com/media/0d0145_0bb100e72d3a48cca5478f9808f6106f~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_0bb100e72d3a48cca5478f9808f6106f~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_0bb100e72d3a48cca5478f9808f6106f_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_0bb100e72d3a48cca5478f9808f6106f_mv2.jpg	(from https://www.boshjerns.art/)
10:30:17	41518/41518	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:20%20GMT	https://static.wixstatic.com/media/0d0145_c4458d5ed1434b9dacd6e55849f4f210~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_c4458d5ed1434b9dacd6e55849f4f210~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_c4458d5ed1434b9dacd6e55849f4f210_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_c4458d5ed1434b9dacd6e55849f4f210_mv2.jpg	(from https://www.boshjerns.art/)
10:30:18	77275/77275	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:21%20GMT	https://static.wixstatic.com/media/0d0145_1d35fdd31de64dc7b0dd9e1ea433a3c2~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_1d35fdd31de64dc7b0dd9e1ea433a3c2~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_1d35fdd31de64dc7b0dd9e1ea433a3c2_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_1d35fdd31de64dc7b0dd9e1ea433a3c2_mv2.jpg	(from https://www.boshjerns.art/)
10:30:19	40478/40478	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:22%20GMT	https://static.wixstatic.com/media/0d0145_d2df04f5ebfc49148a7dcf67b8cf89f3~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_d2df04f5ebfc49148a7dcf67b8cf89f3~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_d2df04f5ebfc49148a7dcf67b8cf89f3_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_d2df04f5ebfc49148a7dcf67b8cf89f3_mv2.jpg	(from https://www.boshjerns.art/)
10:30:20	104736/104736	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:23%20GMT	https://static.wixstatic.com/media/0d0145_6f16c058628543ee9fc466c1b993cc42~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_6f16c058628543ee9fc466c1b993cc42~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_6f16c058628543ee9fc466c1b993cc42_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_6f16c058628543ee9fc466c1b993cc42_mv2.jpg	(from https://www.boshjerns.art/)
10:30:21	60518/60518	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:24%20GMT	https://static.wixstatic.com/media/0d0145_0db6ffc7e365400c90d96061a6354117~mv2.jpeg/v1/fill/w_485,h_485,q_90/0d0145_0db6ffc7e365400c90d96061a6354117~mv2.jpeg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_0db6ffc7e365400c90d96061a6354117_mv2.jpeg/v1/fill/w_485,h_485,q_90/0d0145_0db6ffc7e365400c90d96061a6354117_mv2.jpg	(from https://www.boshjerns.art/)
10:30:22	75564/75564	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:25%20GMT	https://static.wixstatic.com/media/0d0145_847238a3365d4281848d508574786deb~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_847238a3365d4281848d508574786deb~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_847238a3365d4281848d508574786deb_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_847238a3365d4281848d508574786deb_mv2.jpg	(from https://www.boshjerns.art/)
10:30:24	51426/51426	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:27%20GMT	https://static.wixstatic.com/media/0d0145_81dd1090ccca4c3a8d75b8682ba263cf~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_81dd1090ccca4c3a8d75b8682ba263cf~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_81dd1090ccca4c3a8d75b8682ba263cf_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_81dd1090ccca4c3a8d75b8682ba263cf_mv2.jpg	(from https://www.boshjerns.art/)
10:30:25	39229/39229	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:28%20GMT	https://static.wixstatic.com/media/0d0145_1215bb82875140fb8c10babf5500f17c~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_1215bb82875140fb8c10babf5500f17c~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_1215bb82875140fb8c10babf5500f17c_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_1215bb82875140fb8c10babf5500f17c_mv2.jpg	(from https://www.boshjerns.art/)
10:30:26	100335/100335	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:29%20GMT	https://static.wixstatic.com/media/0d0145_7dd156a7ef0f49a3b6fb50b05113ca0d~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_7dd156a7ef0f49a3b6fb50b05113ca0d~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_7dd156a7ef0f49a3b6fb50b05113ca0d_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_7dd156a7ef0f49a3b6fb50b05113ca0d_mv2.jpg	(from https://www.boshjerns.art/)
10:30:27	80938/80938	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:30%20GMT	https://static.wixstatic.com/media/0d0145_98cf66bfcebf4827bfdc33e9d6edd7a6~mv2.jpg/v1/fill/w_486,h_485,fp_0.55_0.41,q_90/0d0145_98cf66bfcebf4827bfdc33e9d6edd7a6~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_98cf66bfcebf4827bfdc33e9d6edd7a6_mv2.jpg/v1/fill/w_486,h_485,fp_0.55_0.41,q_90/0d0145_98cf66bfcebf4827bfdc33e9d6edd7a6_mv2.jpg	(from https://www.boshjerns.art/)
10:30:28	88987/88987	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:31%20GMT	https://static.wixstatic.com/media/0d0145_002e3fb80840476486846dd07d71e27d~mv2.jpg/v1/fill/w_485,h_485,fp_0.64_0.18,q_90/0d0145_002e3fb80840476486846dd07d71e27d~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_002e3fb80840476486846dd07d71e27d_mv2.jpg/v1/fill/w_485,h_485,fp_0.64_0.18,q_90/0d0145_002e3fb80840476486846dd07d71e27d_mv2.jpg	(from https://www.boshjerns.art/)
10:30:29	70317/70317	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:32%20GMT	https://static.wixstatic.com/media/0d0145_d2eaa57e98fb4a92b6cd6c827631dfb4~mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_d2eaa57e98fb4a92b6cd6c827631dfb4~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_d2eaa57e98fb4a92b6cd6c827631dfb4_mv2.jpg/v1/fill/w_485,h_485,q_90/0d0145_d2eaa57e98fb4a92b6cd6c827631dfb4_mv2.jpg	(from https://www.boshjerns.art/)
10:30:30	51993/51993	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:33%20GMT	https://static.wixstatic.com/media/0d0145_4152885070d446799236a2c451050984~mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_4152885070d446799236a2c451050984~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_4152885070d446799236a2c451050984_mv2.jpg/v1/fill/w_486,h_485,q_90/0d0145_4152885070d446799236a2c451050984_mv2.jpg	(from https://www.boshjerns.art/)
10:30:31	67814/67814	---M--	200	added ('OK')	image/jpeg	date:Fri,%2004%20Nov%202022%2014:30:34%20GMT	https://static.wixstatic.com/media/0d0145_dcaf3d55d3fd4200b121888f72d042e3~mv2.jpg/v1/fill/w_485,h_485,fp_0.47_0.27,q_90/0d0145_dcaf3d55d3fd4200b121888f72d042e3~mv2.jpg	C:/My%20Web%20Sites/new/static.wixstatic.com/media/0d0145_dcaf3d55d3fd4200b121888f72d042e3_mv2.jpg/v1/fill/w_485,h_485,fp_0.47_0.27,q_90/0d0145_dcaf3d55d3fd4200b121888f72d042e3_mv2.jpg	(from https://www.boshjerns.art/)
